K	Lag	Month	Model	CoefB0	CoefBvazao	CoefBX1	CoefBX2	CoefBX3	NSE.orig	NSE.comp	Alpha.NSE	Beta.NSE	r.NSE	KGE.orig	Alpha.KGE	Beta.KGE	r.KGE
224	2	4	PAR	227.198780967226	0.360303569937346	0	0	0	-0.491614690548021	-0.447993311226274	0.367357124556764	0.660464831173833	0.167645773989593	-0.104208455506052	0.367357124556764	1.35528263087941	0.167645773989593
224	2	4	PARX	259.145888414547	0.343823727554126	0	-81.1350457146856	0	-0.559019655790015	-0.519449603632767	0.573074247026831	0.62904731266613	0.178567621566408	0.0143432104476803	0.573074247026831	1.33838226298051	0.178567621566408
224	2	4	RIDGE	330.576827586073	0.206916218381591	0.732540677786996	-98.1692270567518	0.361867749034103	-0.733261162118624	-0.673174206825228	0.49607363986873	0.775157760029497	0.175159883850426	-0.0526987394392184	0.49607363986873	1.41697918697715	0.175159883850426
224	2	5	PAR	118.2280228325	0.233092042699477	0	0	0	-0.704208258984432	-0.600280181493391	0.651007352048866	1.01945121261903	0.662673903085143	0.378491759807953	0.651007352048866	1.3881851731363	0.662673903085143
224	2	5	PARX	145.746707575697	0.229585508734284	5.00241572564554	-17.5669269325517	0	-1.20288899735709	-1.05679387867048	0.763915946284633	1.20869813719808	0.646487932335655	0.373475330476251	0.763915946284633	1.46024634612221	0.646487932335655
224	2	5	RIDGE	189.219030766009	0.166241988063703	12.5919640618698	-46.379472320667	16.4774641736659	-1.53932002458709	-1.37376851376725	0.705837470291396	1.28666821993801	0.552501929783178	0.274174201470473	0.705837470291396	1.48993568259383	0.552501929783178
224	2	6	PAR	64.4780283369872	0.251169386393772	0	0	0	-0.575920174392964	-0.465745896931036	1.04241389034054	1.04963935454959	0.826266616564555	0.592112453724448	1.04241389034054	1.36659244917612	0.826266616564555
224	2	6	PARX	81.8445375060864	0.230560207893977	0	-21.5924863806933	12.5103819239953	-1.14304795512613	-0.974365864486846	0.933426742335658	1.29877669612324	0.848347520690491	0.517104535004121	0.933426742335658	1.45360506720805	0.848347520690491
224	2	6	RIDGE	87.4050633047272	0.213159391923587	1.68860050053591	-29.129677821685	11.9352573485303	-0.685779851356045	-0.55616002409343	0.882934835820247	1.13850703670471	0.860546051185032	0.562665730669342	0.882934835820247	1.39762998708153	0.860546051185032
224	2	7	PAR	50.2336262475693	0.380700603420696	0	0	0	-0.287326053012266	-0.191683168024945	0.811961981061905	0.977971804232214	0.876905553309195	0.626117956572701	0.811961981061905	1.29879297686708	0.876905553309195
