K	Lag	Month	Obs	SimPAR	SimPARX	SimRIDGE	SimPARX0	SimPARX1	SimPARX2	SimPARX3
223	3	10	247.92533415	277.580567616357	281.063609503951	294.085014947017	278.269260564107	281.063609503951	301.294727926286	280.498011617638
223	3	10	205.2327537	307.538013014954	302.923932211262	295.928224585356	309.756770193241	302.923932211262	312.537055121822	304.486029020559
223	3	10	285.53501025	273.456612633366	283.987365769377	293.494547686041	273.934676272646	283.987365769377	290.343242511017	273.946816732772
223	3	11	738.5015088	508.899765011931	530.702604779502	526.969119344268	511.207224665959	506.40585940748	513.732287453032	525.115992606278
223	3	11	453.36929715	441.069505101338	376.65773927686	410.478820220775	444.841434692892	457.767789723944	452.232690517443	392.759793257096
223	3	11	509.8037256	490.038050000297	521.585342467923	528.765712705498	492.752738148526	488.638331659333	506.240315963406	515.977921744955
223	3	11	446.72380695	489.775306857682	462.874217172642	482.209554469506	492.495667687015	485.251192996087	498.43820283055	458.437587573918
223	3	11	269.85244995	468.042268958896	322.855893796361	384.623781570496	471.231850762701	472.052461320123	478.820358683932	333.620026204743
223	3	11	302.1867495	363.54045425428	392.683322826279	422.851488354182	368.986252771005	354.521724470346	388.159386979651	378.22254777035
223	3	11	316.608921	397.31933480905	413.119756408337	430.638573685173	402.035840010947	385.766205493409	408.759080898334	397.907371250553
223	3	11	461.0392947	433.996652732257	430.455736803427	450.073234370097	437.92128673156	421.188642512793	443.944486869893	416.086261522892
223	3	11	316.8032571	442.84388925513	438.033380124156	450.536822101202	446.577509510198	446.354981304152	450.369895597989	438.413404104167
223	3	11	510.43455765	459.48534138932	483.350330137268	492.151139659474	462.859669104459	464.056065199528	473.831666500858	483.02807622097
223	3	11	767.317599	441.347871184515	453.742563391089	463.987985378716	445.11379079231	442.006676702962	451.3143880231	450.396952191474
223	3	12	1387.62239085	950.49469661394	967.191674236107	1007.54734046937	947.619801118305	941.212211333843	947.534153475049	967.191674236107
223	3	12	980.222067	914.975789209608	847.24473603884	958.289317801421	913.82871587803	886.392865639998	886.470077018932	847.24473603884
223	3	12	1098.00882405	964.610655506318	947.299864527507	1000.6489439384	961.049087237686	940.166620416866	902.949642963647	947.299864527507
223	3	12	905.7726036	966.449256756001	904.898004188395	979.093284165469	962.798249475242	952.102480819718	952.239087676629	904.898004188395
223	3	12	296.7476931	883.069602863651	650.506625427773	863.174150260234	883.474610380492	860.586674487112	838.266492994101	650.506625427773
223	3	12	571.43549205	825.988205909848	797.697589197118	938.70794843909	829.169945877645	789.623456498041	760.705950888873	797.697589197118
223	3	12	818.0723808	825.537031418791	828.637696983448	926.446319826614	828.740718832116	865.472850425085	821.29691294346	828.637696983448
223	3	12	1262.1058443	878.489725389042	812.848166932345	951.446083907576	879.117521679176	824.75505241968	819.138436991994	812.848166932345
223	3	12	488.43141435	877.48618813957	859.743660259339	960.580981184658	878.162801638025	859.471718821353	838.332263574608	859.743660259339
223	3	12	572.31584145	899.187224769026	951.294828911792	990.466978385703	898.80818833871	910.305452252991	837.475380033896	951.294828911792
